id,group,td_name,common_name,python,glsl,type,scope,kind,status,note,evidence,evidence_urls
S011,01 時間與日期｜Common Sources 候選,me.time.end,Timeline End,me.time.end,,float,TOP／MAT，CPU → Uniform,來源,待擴充,主範圍終點，單位幀。,TC OP P,https://derivative.ca/UserGuide/TimeCOMP_Class ; https://derivative.ca/UserGuide/OP_Class ; ../../src/core/sgrape_sources.py
S012,01 時間與日期｜Common Sources 候選,me.time.rangeStart,Playback Range Start,me.time.rangeStart,,float,TOP／MAT，CPU → Uniform,來源,待擴充,子播放範圍起點，單位幀。,TC OP P,https://derivative.ca/UserGuide/TimeCOMP_Class ; https://derivative.ca/UserGuide/OP_Class ; ../../src/core/sgrape_sources.py
S013,01 時間與日期｜Common Sources 候選,me.time.rangeEnd,Playback Range End,me.time.rangeEnd,,float,TOP／MAT，CPU → Uniform,來源,待擴充,子播放範圍終點，單位幀。,TC OP P,https://derivative.ca/UserGuide/TimeCOMP_Class ; https://derivative.ca/UserGuide/OP_Class ; ../../src/core/sgrape_sources.py
S014,01 時間與日期｜Common Sources 候選,me.time.loop,Timeline Looping,me.time.loop,,bool,TOP／MAT，CPU → Uniform,來源,待擴充,所屬時間軸是否循環。,TC OP P,https://derivative.ca/UserGuide/TimeCOMP_Class ; https://derivative.ca/UserGuide/OP_Class ; ../../src/core/sgrape_sources.py
S015,01 時間與日期｜Common Sources 候選,me.time.independent,,me.time.independent,,float（文件型別）,TOP／MAT，CPU → Uniform,來源,待擴充,時間軸是否獨立；保留 TD 屬性名，實作時再核對值型別，不由名稱推成 bool。,TC OP P,https://derivative.ca/UserGuide/TimeCOMP_Class ; https://derivative.ca/UserGuide/OP_Class ; ../../src/core/sgrape_sources.py
S016,01 時間與日期｜Common Sources 候選,me.time.tempo,Tempo,me.time.tempo,,float,TOP／MAT，CPU → Uniform,來源,待擴充,每分鐘拍數；僅為節拍設定，不代表已有連續 Beat Phase 來源。,TC OP P,https://derivative.ca/UserGuide/TimeCOMP_Class ; https://derivative.ca/UserGuide/OP_Class ; ../../src/core/sgrape_sources.py
S017,01 時間與日期｜Common Sources 候選,me.time.signature1,Time Signature Numerator,me.time.signature1,,int,TOP／MAT，CPU → Uniform,來源,待擴充,拍號第一數。,TC OP P,https://derivative.ca/UserGuide/TimeCOMP_Class ; https://derivative.ca/UserGuide/OP_Class ; ../../src/core/sgrape_sources.py
S018,01 時間與日期｜Common Sources 候選,me.time.signature2,Time Signature Denominator,me.time.signature2,,int,TOP／MAT，CPU → Uniform,來源,待擴充,拍號第二數。,TC OP P,https://derivative.ca/UserGuide/TimeCOMP_Class ; https://derivative.ca/UserGuide/OP_Class ; ../../src/core/sgrape_sources.py
S019,01 時間與日期｜Common Sources 候選,me.time.timecode,,me.time.timecode,,str,CPU／UI,UI 資訊,待擴充,可作 UI 資訊；不是可直接送入 GLSL 的數值來源。,TC OP P,https://derivative.ca/UserGuide/TimeCOMP_Class ; https://derivative.ca/UserGuide/OP_Class ; ../../src/core/sgrape_sources.py
S020,01 時間與日期｜Common Sources 候選,project.cookRate,Project Rate,project.cookRate,,float,CPU → Uniform,來源,待擴充,專案設定 cook rate，不是實測 FPS，也不同於所有 local timeline 的 rate。,FR,https://docs.derivative.ca/Frame_Rate
S021,01 時間與日期｜Common Sources 候選,op('<clock>')['msec'].eval(),Millisecond,op('<clock>')['msec'].eval(),,float,TOP／MAT，CPU → Uniform,來源,原生可用；來源設定待定,0–999，限 Units 模式。 <clock> 必須由已選定的 Clock CHOP 取代，非內建固定路徑。,C,https://derivative.ca/UserGuide/Clock_CHOP
S022,01 時間與日期｜Common Sources 候選,op('<clock>')['sec'].eval(),Second,op('<clock>')['sec'].eval(),,float,TOP／MAT，CPU → Uniform,來源,原生可用；來源設定待定,秒分量，限 Units 模式。 <clock> 必須由已選定的 Clock CHOP 取代，非內建固定路徑。,C,https://derivative.ca/UserGuide/Clock_CHOP
S023,01 時間與日期｜Common Sources 候選,op('<clock>')['min'].eval(),Minute,op('<clock>')['min'].eval(),,float,TOP／MAT，CPU → Uniform,來源,原生可用；來源設定待定,分鐘分量，限 Units 模式。 <clock> 必須由已選定的 Clock CHOP 取代，非內建固定路徑。,C,https://derivative.ca/UserGuide/Clock_CHOP
S024,01 時間與日期｜Common Sources 候選,op('<clock>')['hour'].eval(),Hour,op('<clock>')['hour'].eval(),,float,TOP／MAT，CPU → Uniform,來源,原生可用；來源設定待定,必須選定 12／24 小時制與 Hour Adjust。 <clock> 必須由已選定的 Clock CHOP 取代，非內建固定路徑。,C,https://derivative.ca/UserGuide/Clock_CHOP
S025,01 時間與日期｜Common Sources 候選,op('<clock>')['ampm'].eval(),AM/PM,op('<clock>')['ampm'].eval(),,float,TOP／MAT，CPU → Uniform,來源,原生可用；來源設定待定,0／1；僅在有意義的時制下顯示。 <clock> 必須由已選定的 Clock CHOP 取代，非內建固定路徑。,C,https://derivative.ca/UserGuide/Clock_CHOP
S026,01 時間與日期｜Common Sources 候選,op('<clock>')['wday'].eval(),Day of Week,op('<clock>')['wday'].eval(),,float,TOP／MAT，CPU → Uniform,來源,原生可用；來源設定待定,TD Units 模式以 Monday=0；跨宿主需保持約定。 <clock> 必須由已選定的 Clock CHOP 取代，非內建固定路徑。,C,https://derivative.ca/UserGuide/Clock_CHOP
S027,01 時間與日期｜Common Sources 候選,op('<clock>')['day'].eval(),Day of Month,op('<clock>')['day'].eval(),,float,TOP／MAT，CPU → Uniform,來源,原生可用；來源設定待定,日序，Units 模式。 <clock> 必須由已選定的 Clock CHOP 取代，非內建固定路徑。,C,https://derivative.ca/UserGuide/Clock_CHOP
S028,01 時間與日期｜Common Sources 候選,op('<clock>')['yday'].eval(),Day of Year,op('<clock>')['yday'].eval(),,float,TOP／MAT，CPU → Uniform,來源,原生可用；來源設定待定,TD 由 0 起算。 <clock> 必須由已選定的 Clock CHOP 取代，非內建固定路徑。,C,https://derivative.ca/UserGuide/Clock_CHOP
S029,01 時間與日期｜Common Sources 候選,op('<clock>')['week'].eval(),Week,op('<clock>')['week'].eval(),,float,TOP／MAT，CPU → Uniform,來源,原生可用；來源設定待定,TD 的週序規則，不默認為 ISO week。 <clock> 必須由已選定的 Clock CHOP 取代，非內建固定路徑。,C,https://derivative.ca/UserGuide/Clock_CHOP
S030,01 時間與日期｜Common Sources 候選,op('<clock>')['month'].eval(),Month,op('<clock>')['month'].eval(),,float,TOP／MAT，CPU → Uniform,來源,原生可用；來源設定待定,Units 模式 1–12。 <clock> 必須由已選定的 Clock CHOP 取代，非內建固定路徑。,C,https://derivative.ca/UserGuide/Clock_CHOP
S031,01 時間與日期｜Common Sources 候選,op('<clock>')['year'].eval(),,op('<clock>')['year'].eval(),,float,TOP／MAT，CPU → Uniform,來源,原生可用；來源設定待定,相對 Start Reference；預設不是完整西元年，不能直接當 ISF DATE.x。 <clock> 必須由已選定的 Clock CHOP 取代，非內建固定路徑。,C,https://derivative.ca/UserGuide/Clock_CHOP
S032,01 時間與日期｜Common Sources 候選,op('<clock>')['moonphase'].eval(),Moon Phase,op('<clock>')['moonphase'].eval(),,float,TOP／MAT，CPU → Uniform,來源,原生可用；來源設定待定,0–1；0/1 新月，0.5 滿月。 <clock> 必須由已選定的 Clock CHOP 取代，非內建固定路徑。,C,https://derivative.ca/UserGuide/Clock_CHOP
S033,01 時間與日期｜Common Sources 候選,op('<clock>')['sunphase'].eval(),Sun Phase,op('<clock>')['sunphase'].eval(),,float,TOP／MAT，CPU → Uniform,來源,原生可用；來源設定待定,日出為 0、日落為 1，之後下降至下一次日出的 0。 <clock> 必須由已選定的 Clock CHOP 取代，非內建固定路徑。,C,https://derivative.ca/UserGuide/Clock_CHOP
S034,01 時間與日期｜Common Sources 候選,op('<clock>')['sunrise'].eval(),Sunrise,op('<clock>')['sunrise'].eval(),,float,TOP／MAT，CPU → Uniform,來源,原生可用；來源設定待定,0–1 日內時間；依地理位置與設定。 <clock> 必須由已選定的 Clock CHOP 取代，非內建固定路徑。,C,https://derivative.ca/UserGuide/Clock_CHOP
S035,01 時間與日期｜Common Sources 候選,op('<clock>')['sunset'].eval(),Sunset,op('<clock>')['sunset'].eval(),,float,TOP／MAT，CPU → Uniform,來源,原生可用；來源設定待定,0–1 日內時間；依地理位置與設定。 <clock> 必須由已選定的 Clock CHOP 取代，非內建固定路徑。,C,https://derivative.ca/UserGuide/Clock_CHOP
S036,01 時間與日期｜Common Sources 候選,op('<clock>')['declination'].eval(),Solar Declination,op('<clock>')['declination'].eval(),,float,TOP／MAT，CPU → Uniform,來源,原生可用；來源設定待定,太陽赤緯；文件以角度表示。 <clock> 必須由已選定的 Clock CHOP 取代，非內建固定路徑。,C,https://derivative.ca/UserGuide/Clock_CHOP
S037,01 時間與日期｜Common Sources 候選,op('<feedback>')['dt'].eval(),,op('<feedback>')['dt'].eval(),,float,CPU → Uniform,來源,原生可用；非預置,該 Feedback CHOP 兩次 cook 的秒差；沒有單一共通 Delta Time 語意，不為取得它而自動建立 Feedback 網路。,F,https://docs.derivative.ca/Feedback_CHOP
S038,01 時間與日期｜Common Sources 候選,System Time／Date（來源待選）,System Time,,,待定,CPU → Uniform,待決概念,未定案,概念已提出，精確 TD Python 主標題尚不能填；輸出格式、時區、時鐘與組合方式待決。不是原生自動 GLSL Uniform。,C A I,https://derivative.ca/UserGuide/Clock_CHOP ; https://docs.derivative.ca/AbsTime_Class ; https://github.com/mrRay/ISF_Spec
S039,02 TOP 紋理與資訊｜Texture Inputs／TD Built-ins,sTD2DInputs[],Texture Inputs,,sTD2DInputs,sampler2D[],TOP P／C,來源,已有 2D 來源／陣列入口,按維度分組；i 是該維度中的索引，不是原始 connector 索引。無 Python 等價主標題。,T R,https://derivative.ca/UserGuide/Write_a_GLSL_TOP ; ../../src/core/sgrape_composites.py
S040,02 TOP 紋理與資訊｜Texture Inputs／TD Built-ins,uTD2DInfos[],,,uTD2DInfos,TDTexInfo[],TOP P／C,來源,已有陣列入口,TD 定義的資訊陣列；可用說明文字，不將打包結構偽裝為跨平台通用型別。,T R,https://derivative.ca/UserGuide/Write_a_GLSL_TOP ; ../../src/core/sgrape_composites.py
S041,02 TOP 紋理與資訊｜Texture Inputs／TD Built-ins,TD_NUM_2D_INPUTS,Texture Input Count,,TD_NUM_2D_INPUTS,編譯期整數,TOP P／C,來源,長度契約已用；無獨立入口,依該維度輸入數量由 TD 編譯環境提供；不是 Uniform。,T R,https://derivative.ca/UserGuide/Write_a_GLSL_TOP ; ../../src/core/sgrape_composites.py
S042,02 TOP 紋理與資訊｜Texture Inputs／TD Built-ins,sTD3DInputs[],3D Texture Inputs,,sTD3DInputs,sampler3D[],TOP P／C,來源,待擴充,按維度分組；i 是該維度中的索引，不是原始 connector 索引。無 Python 等價主標題。,T R,https://derivative.ca/UserGuide/Write_a_GLSL_TOP ; ../../src/core/sgrape_composites.py
S043,02 TOP 紋理與資訊｜Texture Inputs／TD Built-ins,uTD3DInfos[],,,uTD3DInfos,TDTexInfo[],TOP P／C,來源,待擴充,TD 定義的資訊陣列；可用說明文字，不將打包結構偽裝為跨平台通用型別。,T R,https://derivative.ca/UserGuide/Write_a_GLSL_TOP ; ../../src/core/sgrape_composites.py
S044,02 TOP 紋理與資訊｜Texture Inputs／TD Built-ins,TD_NUM_3D_INPUTS,3D Input Count,,TD_NUM_3D_INPUTS,編譯期整數,TOP P／C,來源,待擴充,依該維度輸入數量由 TD 編譯環境提供；不是 Uniform。,T R,https://derivative.ca/UserGuide/Write_a_GLSL_TOP ; ../../src/core/sgrape_composites.py
S045,02 TOP 紋理與資訊｜Texture Inputs／TD Built-ins,sTD2DArrayInputs[],Texture Array Inputs,,sTD2DArrayInputs,sampler2DArray[],TOP P／C,來源,待擴充,按維度分組；i 是該維度中的索引，不是原始 connector 索引。無 Python 等價主標題。,T R,https://derivative.ca/UserGuide/Write_a_GLSL_TOP ; ../../src/core/sgrape_composites.py
S046,02 TOP 紋理與資訊｜Texture Inputs／TD Built-ins,uTD2DArrayInfos[],,,uTD2DArrayInfos,TDTexInfo[],TOP P／C,來源,待擴充,TD 定義的資訊陣列；可用說明文字，不將打包結構偽裝為跨平台通用型別。,T R,https://derivative.ca/UserGuide/Write_a_GLSL_TOP ; ../../src/core/sgrape_composites.py
S047,02 TOP 紋理與資訊｜Texture Inputs／TD Built-ins,TD_NUM_2D_ARRAY_INPUTS,Texture Array Input Count,,TD_NUM_2D_ARRAY_INPUTS,編譯期整數,TOP P／C,來源,待擴充,依該維度輸入數量由 TD 編譯環境提供；不是 Uniform。,T R,https://derivative.ca/UserGuide/Write_a_GLSL_TOP ; ../../src/core/sgrape_composites.py
S048,02 TOP 紋理與資訊｜Texture Inputs／TD Built-ins,sTDCubeInputs[],Cubemap Inputs,,sTDCubeInputs,samplerCube[],TOP P／C,來源,待擴充,按維度分組；i 是該維度中的索引，不是原始 connector 索引。無 Python 等價主標題。,T R,https://derivative.ca/UserGuide/Write_a_GLSL_TOP ; ../../src/core/sgrape_composites.py
S049,02 TOP 紋理與資訊｜Texture Inputs／TD Built-ins,uTDCubeInfos[],,,uTDCubeInfos,TDTexInfo[],TOP P／C,來源,待擴充,TD 定義的資訊陣列；可用說明文字，不將打包結構偽裝為跨平台通用型別。,T R,https://derivative.ca/UserGuide/Write_a_GLSL_TOP ; ../../src/core/sgrape_composites.py
S050,02 TOP 紋理與資訊｜Texture Inputs／TD Built-ins,TD_NUM_CUBE_INPUTS,Cubemap Input Count,,TD_NUM_CUBE_INPUTS,編譯期整數,TOP P／C,來源,待擴充,依該維度輸入數量由 TD 編譯環境提供；不是 Uniform。,T R,https://derivative.ca/UserGuide/Write_a_GLSL_TOP ; ../../src/core/sgrape_composites.py
S051,02 TOP 紋理與資訊｜Texture Inputs／TD Built-ins,uTDOutputInfo,,,uTDOutputInfo,TDTexInfo,TOP P／C,來源,待擴充,輸出目標資訊，與輸入來源不同。,T,https://derivative.ca/UserGuide/Write_a_GLSL_TOP
S052,02 TOP 紋理與資訊｜Texture Inputs／TD Built-ins,uTDOutputInfo.res.zw,Output Resolution,,uTDOutputInfo.res.zw,vec2,TOP P／C,來源,待擴充,像素寬高；可由原生欄位取得，不要求建立額外 Uniform。,T N,https://derivative.ca/UserGuide/Write_a_GLSL_TOP ; ../../src/core/sgrape_core.py
S053,02 TOP 紋理與資訊｜Texture Inputs／TD Built-ins,uTDOutputInfo.res.xy,Output Pixel Size,,uTDOutputInfo.res.xy,vec2,TOP P／C,來源,待擴充,1/width、1/height；指 UV 中一個 texel 的步長，不是像素長寬。,T N,https://derivative.ca/UserGuide/Write_a_GLSL_TOP ; ../../src/core/sgrape_core.py
S054,02 TOP 紋理與資訊｜Texture Inputs／TD Built-ins,uTD2DInfos[i].res.zw,Input Resolution,,uTD2DInfos[i].res.zw,vec2,TOP P／C,來源,TOP Input 有便利輸出,像素寬高；可由原生欄位取得，不要求建立額外 Uniform。,T N,https://derivative.ca/UserGuide/Write_a_GLSL_TOP ; ../../src/core/sgrape_core.py
S055,02 TOP 紋理與資訊｜Texture Inputs／TD Built-ins,uTD2DInfos[i].res.xy,Input Pixel Size,,uTD2DInfos[i].res.xy,vec2,TOP P／C,來源,TOP Input 有便利輸出,1/width、1/height；指 UV 中一個 texel 的步長，不是像素長寬。,T N,https://derivative.ca/UserGuide/Write_a_GLSL_TOP ; ../../src/core/sgrape_core.py
S056,02 TOP 紋理與資訊｜Texture Inputs／TD Built-ins,TDTexInfo.res,,,<texInfo>.res,vec4,TOP，資訊結構欄位,來源,2D 可經 Field／分量取值,xy=寬高倒數，zw=寬高；TD 的打包布局。,T R,https://derivative.ca/UserGuide/Write_a_GLSL_TOP ; ../../src/core/sgrape_composites.py
S057,02 TOP 紋理與資訊｜Texture Inputs／TD Built-ins,TDTexInfo.depth,,,<texInfo>.depth,vec4,TOP，資訊結構欄位,來源,2D 可經 Field／分量取值,x=深度倒數，y=深度，z=最新更新切片偏移；w 未定義，不提供可用值入口。,T R,https://derivative.ca/UserGuide/Write_a_GLSL_TOP ; ../../src/core/sgrape_composites.py
S058,02 TOP 紋理與資訊｜Texture Inputs／TD Built-ins,TDTexInfo.depth.x,Reciprocal Depth,,<texInfo>.depth.x,float,TOP，資訊結構欄位,來源,2D 可經 Field／分量取值,適用有深度的紋理。,T R,https://derivative.ca/UserGuide/Write_a_GLSL_TOP ; ../../src/core/sgrape_composites.py
S059,02 TOP 紋理與資訊｜Texture Inputs／TD Built-ins,TDTexInfo.depth.y,Texture Depth,,<texInfo>.depth.y,float,TOP，資訊結構欄位,來源,2D 可經 Field／分量取值,保留原生 float；3D 深度或 2D Array layer 數。,T R,https://derivative.ca/UserGuide/Write_a_GLSL_TOP ; ../../src/core/sgrape_composites.py
S060,02 TOP 紋理與資訊｜Texture Inputs／TD Built-ins,TDTexInfo.depth.z,,,<texInfo>.depth.z,float,TOP，資訊結構欄位,來源,2D 可經 Field／分量取值,3D 為正規化偏移，2D Array 為 layer 索引；uTDOutputInfo 的此值為 0。不能一概命名為同單位的 Slice Index。,T R,https://derivative.ca/UserGuide/Write_a_GLSL_TOP ; ../../src/core/sgrape_composites.py
S061,02 TOP 紋理與資訊｜Texture Inputs／TD Built-ins,uTDCurrentDepth,Output Slice,,uTDCurrentDepth,int,TOP P,來源,待擴充,逐切片繪製的當前輸出 slice index；Compute 不以它代替 gl_GlobalInvocationID.z。,T,https://derivative.ca/UserGuide/Write_a_GLSL_TOP
S062,02 TOP 紋理與資訊｜Texture Inputs／TD Built-ins,uTDPass,Pass Index,,uTDPass,int,TOP P／C,來源,待擴充,TOP Num Passes 的零起算 pass；不是 Frame。其他宿主須提供同樣的 pass 定義。,T,https://derivative.ca/UserGuide/Write_a_GLSL_TOP
S063,02 TOP 紋理與資訊｜Texture Inputs／TD Built-ins,sTDNoiseMap,,,sTDNoiseMap,sampler2D,TOP,來源,待擴充,TD 固定內建噪聲貼圖；不與任意 Noise texture 當作同一資料來源。,T,https://derivative.ca/UserGuide/Write_a_GLSL_TOP
S064,02 TOP 紋理與資訊｜Texture Inputs／TD Built-ins,sTDSineLookup,,,sTDSineLookup,sampler1D,TOP,來源,待擴充,TD 內建 lookup 資源；沒有固定通用資源等價，不硬取別名。,T,https://derivative.ca/UserGuide/Write_a_GLSL_TOP
S065,03 座標、幾何與實例｜Common Sources／TD Built-ins,vUV.st,Texture Coordinates,,vUV.st,vec2,TOP P，預設 vertex,來源,已有入口,全屏紋理座標；不是 Uniform。自訂 vertex shader 時需自行傳遞 varying。,T N,https://derivative.ca/UserGuide/Write_a_GLSL_TOP ; ../../src/core/sgrape_core.py
S066,03 座標、幾何與實例｜Common Sources／TD Built-ins,vUV,,,vUV,vec3,TOP P，預設 vertex,來源,待擴充,保留原生完整 varying；第三分量不在此假設為已定義的通用資料。,T,https://derivative.ca/UserGuide/Write_a_GLSL_TOP
S067,03 座標、幾何與實例｜Common Sources／TD Built-ins,TDPos(),Position,,TDPos(),vec3,MAT V,來源 accessor,已有入口,幾何原始位置；空間為 SOP／object space，不是變形後 world position。,M N,https://derivative.ca/UserGuide/Write_a_GLSL_MAT ; ../../src/core/sgrape_core.py
S068,03 座標、幾何與實例｜Common Sources／TD Built-ins,TDNormal(),Normal,,TDNormal(),vec3,MAT V,來源 accessor,待擴充,原始幾何法線；變形與 normal matrix 另行處理。,M N,https://derivative.ca/UserGuide/Write_a_GLSL_MAT ; ../../src/core/sgrape_core.py
S069,03 座標、幾何與實例｜Common Sources／TD Built-ins,TDTexCoord(layer),Texture Coordinates,,TDTexCoord(layer),vec3,MAT V,來源 accessor,待擴充,可選 texture layer；與 TOP 的 vec2 vUV.st 入口型別不同。,M N,https://derivative.ca/UserGuide/Write_a_GLSL_MAT ; ../../src/core/sgrape_core.py
S070,03 座標、幾何與實例｜Common Sources／TD Built-ins,TDPointColor(),Point Color,,TDPointColor(),vec4,MAT V,來源 accessor,待擴充,使用 TD 對 alpha premultiplication 的處理結果。,M N,https://derivative.ca/UserGuide/Write_a_GLSL_MAT ; ../../src/core/sgrape_core.py
S071,03 座標、幾何與實例｜Common Sources／TD Built-ins,TDInstanceID(),Instance Index,,TDInstanceID(),int,MAT V,來源 accessor,待擴充,TD 調整過的 instance index；不能直接換成 gl_InstanceID。,M N,https://derivative.ca/UserGuide/Write_a_GLSL_MAT ; ../../src/core/sgrape_core.py
S072,03 座標、幾何與實例｜Common Sources／TD Built-ins,TDCameraIndex(),,,TDCameraIndex(),int,MAT V,來源 accessor,待擴充,本次 draw batch 的相機索引；不是整份 Render 的 camera index。,M N,https://derivative.ca/UserGuide/Write_a_GLSL_MAT ; ../../src/core/sgrape_core.py
S073,03 座標、幾何與實例｜Common Sources／TD Built-ins,TDTrueCameraIndex(),Camera Index,,TDTrueCameraIndex(),int,MAT V,來源 accessor,待擴充,Render TOP Cameras 清單中的索引；跨宿主需定義同一清單語意。,M N,https://derivative.ca/UserGuide/Write_a_GLSL_MAT ; ../../src/core/sgrape_core.py
S074,03 座標、幾何與實例｜Common Sources／TD Built-ins,TDUVUnwrapCoord(),,,TDUVUnwrapCoord(),vec3,MAT V,來源 accessor,待擴充,Render TOP 選定的 UV unwrap 來源。,M N,https://derivative.ca/UserGuide/Write_a_GLSL_MAT ; ../../src/core/sgrape_core.py
S075,03 座標、幾何與實例｜Common Sources／TD Built-ins,TDPointCoord(),Point Coordinates,,TDPointCoord(),vec2,MAT P,來源 accessor,待擴充,Point sprite 座標；TD 的方向修正，應優先於 gl_PointCoord。,M N,https://derivative.ca/UserGuide/Write_a_GLSL_MAT ; ../../src/core/sgrape_core.py
S076,03 座標、幾何與實例｜Common Sources／TD Built-ins,TDBoneMat(boneIndex),Bone Matrix,,TDBoneMat(boneIndex),mat4,MAT V,來源 accessor,待擴充,骨骼矩陣；必須說明原生空間與 deform 配置，非 CPU op transform 的替身。,M N,https://derivative.ca/UserGuide/Write_a_GLSL_MAT ; ../../src/core/sgrape_core.py
S077,03 座標、幾何與實例｜Common Sources／TD Built-ins,TDInstanceMat(instanceID),Instance Matrix,,TDInstanceMat(instanceID),mat4,MAT V,來源 accessor,待擴充,省略 instanceID 的 overload 使用當前 instance；保留 TD instancing 意義。,M N,https://derivative.ca/UserGuide/Write_a_GLSL_MAT ; ../../src/core/sgrape_core.py
S078,03 座標、幾何與實例｜Common Sources／TD Built-ins,TDInstanceMat3(instanceID),Instance Linear Matrix,,TDInstanceMat3(instanceID),mat3,MAT V,來源 accessor,待擴充,只供線性／向量部分；不是 inverse-transpose normal matrix。,M N,https://derivative.ca/UserGuide/Write_a_GLSL_MAT ; ../../src/core/sgrape_core.py
S079,03 座標、幾何與實例｜Common Sources／TD Built-ins,TDInstanceTextureIndex(),Instance Texture Index,,TDInstanceTextureIndex(),uint,MAT V,來源 accessor,待擴充,無參數版本僅 vertex；需傳往 pixel 時使用 flat。,M N,https://derivative.ca/UserGuide/Write_a_GLSL_MAT ; ../../src/core/sgrape_core.py
S080,03 座標、幾何與實例｜Common Sources／TD Built-ins,TDInstanceTextureIndex(instanceID),Instance Texture Index,,TDInstanceTextureIndex(instanceID),uint,MAT V／G／P,來源 accessor,待擴充,顯式 instanceID 版本；回傳 texture index。,M N,https://derivative.ca/UserGuide/Write_a_GLSL_MAT ; ../../src/core/sgrape_core.py
S081,03 座標、幾何與實例｜Common Sources／TD Built-ins,TDInstanceCustomAttrib0(instanceID),,,TDInstanceCustomAttrib0(instanceID),vec4,MAT V,來源 accessor,待擴充,無參數 overload 讀當前 instance；0–3 為 TD 固定 custom slots，名稱需使用者定義內容。,M,https://derivative.ca/UserGuide/Write_a_GLSL_MAT
S082,03 座標、幾何與實例｜Common Sources／TD Built-ins,TDInstanceCustomAttrib1(instanceID),,,TDInstanceCustomAttrib1(instanceID),vec4,MAT V,來源 accessor,待擴充,無參數 overload 讀當前 instance；0–3 為 TD 固定 custom slots，名稱需使用者定義內容。,M,https://derivative.ca/UserGuide/Write_a_GLSL_MAT
S083,03 座標、幾何與實例｜Common Sources／TD Built-ins,TDInstanceCustomAttrib2(instanceID),,,TDInstanceCustomAttrib2(instanceID),vec4,MAT V,來源 accessor,待擴充,無參數 overload 讀當前 instance；0–3 為 TD 固定 custom slots，名稱需使用者定義內容。,M,https://derivative.ca/UserGuide/Write_a_GLSL_MAT
